T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T12: 1 49, 3 16, 5 30, 7 21, 9 2, 11 35, 13 5, 15 6, 17 21, 20 8, 21 4, 24 12, 25 10, 27 20, 29 28, 31 12, 34 54, 36 5, 38 7, 40 99, 42 8, 44 8, 47 21, 48 28, 50 35, 52 54, 54 7, 56 4, 58 4, 60 36, 62 7, 64 28, 66 4, 68 28, 70 10, 72 12, 74 8
T13: 1 7, 3 12, 5 3, 7 6, 9 6, 11 10, 13 3, 15 3, 17 3, 20 7, 21 5, 24 2, 25 5, 27 16, 29 28, 31 15, 34 30, 36 2, 38 6, 40 33, 42 7, 44 9, 47 15, 48 35, 50 35, 52 54, 54 5, 56 28, 58 10, 60 8, 62 8, 65 6, 66 40, 68 35, 70 18, 72 42, 74 8
T14: 1 70, 3 8, 5 15, 7 15, 9 6, 11 20, 13 5, 15 9, 17 24, 20 10, 21 4, 24 12, 25 7, 27 18, 29 36, 31 24, 34 24, 36 9, 38 3, 40 11, 43 30, 44 5, 47 3, 48 42, 50 50, 52 12, 54 10, 56 12, 58 1, 60 40, 62 2, 65 3, 66 8, 68 14, 70 10, 72 18, 74 5
T15: 1 28, 3 16, 5 27, 7 15, 9 20, 12 2, 13 2, 15 30, 17 9, 20 5, 21 8, 24 16, 25 7, 27 18, 29 20, 31 18, 34 6, 36 9, 38 10, 40 44, 42 6, 44 5, 47 3, 48 14, 50 30, 52 48, 54 8, 56 36, 58 10, 60 40, 62 9, 65 30, 66 32, 68 21, 70 18, 72 42, 74 7
T16: 1 35, 3 8, 5 3, 7 30, 9 8, 12 8, 13 4, 15 3, 17 3, 19 24, 21 10, 24 12, 25 1, 27 12, 29 24, 31 12, 34 54, 36 3, 38 9, 40 55, 42 9, 44 9, 46 3, 48 49, 51 10, 52 42, 54 6, 56 40, 58 8, 60 20, 62 1, 64 8, 66 28, 68 21, 70 14, 72 6, 74 8
T17: 1 49, 3 16, 5 21, 7 18, 9 2, 11 30, 13 10, 15 18, 17 30, 19 3, 21 7, 24 12, 25 7, 27 12, 29 40, 31 15, 34 60, 36 4, 38 3, 40 22, 42 8, 44 9, 46 2, 48 49, 51 8, 52 36, 54 2, 56 12, 58 8, 60 16, 62 6, 65 9, 66 20, 68 21, 70 8, 72 6, 74 3
T18: 1 28, 3 4, 5 15, 7 12, 9 20, 12 8, 13 3, 16 12, 17 30, 19 18, 21 4, 24 6, 25 9, 27 8, 29 24, 31 30, 34 30, 36 1, 38 4, 40 77, 42 8, 44 9, 46 8, 48 70, 51 20, 52 30, 54 2, 56 32, 58 3, 60 32, 62 2, 64 4, 66 8, 68 28, 70 2, 72 12, 74 4
T19: 1 49, 3 40, 5 12, 7 3, 9 14, 11 5, 13 2, 15 18, 17 24, 20 10, 21 10, 24 8, 25 4, 27 14, 29 32, 31 15, 34 6, 36 6, 38 6, 40 55, 42 4, 44 5, 47 18, 48 49, 51 4, 52 36, 54 8, 56 24, 58 10, 60 40, 62 7, 64 16, 66 4, 68 7, 70 6, 72 48, 74 5
T20: 1 14, 3 12, 5 24, 7 30, 9 4, 11 35, 13 9, 15 27, 17 3, 20 6, 21 5, 24 8, 25 2, 27 10, 29 28, 31 27, 34 48, 36 3, 38 8, 40 33, 42 8, 44 1, 47 9, 48 49, 51 10, 52 30, 54 1, 56 28, 58 10, 60 40, 62 7, 65 21, 66 12, 68 14, 70 14, 72 54, 74 1
T21: 1 42, 3 32, 5 18, 7 15, 9 12, 11 35, 13 8, 15 27, 17 24, 20 10, 21 2, 24 20, 25 2, 27 20, 29 36, 31 12, 34 24, 36 7, 38 1, 40 77, 43 5, 44 10, 47 9, 48 49, 51 2, 52 42, 54 9, 56 20, 58 5, 60 40, 62 4, 65 30, 66 36, 68 49, 70 18, 72 60, 74 8
T22: 1 70, 3 12, 5 6, 7 24, 9 14, 12 18, 13 3, 15 18, 17 6, 20 5, 21 9, 24 10, 25 2, 27 2, 29 40, 31 15, 34 30, 36 2, 38 8, 40 110, 42 5, 44 3, 47 6, 48 70, 51 8, 52 18, 54 5, 56 32, 58 8, 60 36, 62 6, 65 21, 66 32, 68 28, 70 2, 72 12, 74 4
T23: 1 49, 3 12, 5 9, 7 27, 9 8, 11 20, 13 9, 15 6, 17 9, 19 18, 21 6, 24 10, 25 6, 27 14, 29 40, 32 15, 34 6, 36 8, 38 1, 40 55, 42 10, 44 1, 46 2, 48 49, 50 5, 52 42, 54 3, 56 36, 58 9, 60 12, 62 10, 64 36, 66 12, 68 14, 70 16, 72 60, 74 8
T24: 1 7, 3 16, 5 27, 7 24, 9 10, 11 40, 13 9, 15 30, 17 15, 19 30, 21 3, 24 14, 25 6, 27 12, 29 32, 32 25, 34 18, 36 2, 38 4, 40 33, 42 3, 44 2, 46 4, 48 49, 50 35, 52 30, 54 3, 56 8, 58 3, 60 16, 62 4, 65 21, 66 20, 68 7, 70 16, 72 6, 74 3
T25: 1 63, 3 4, 5 21, 7 27, 9 6, 11 40, 13 3, 15 18, 17 30, 19 6, 21 6, 24 8, 25 3, 27 8, 29 12, 32 15, 34 54, 36 5, 38 5, 40 11, 43 25, 44 5, 46 5, 48 42, 50 45, 52 24, 54 10, 56 20, 58 2, 60 36, 62 8, 65 3, 66 16, 68 28, 70 16, 72 12, 74 10
T26: 1 21, 3 28, 5 6, 7 9, 9 20, 11 25, 13 2, 16 24, 17 15, 19 12, 21 2, 24 8, 25 3, 27 2, 29 8, 32 40, 34 42, 36 3, 38 1, 40 22, 42 10, 44 8, 46 9, 48 70, 50 40, 52 54, 54 2, 56 20, 58 8, 60 24, 62 9, 64 40, 66 32, 68 21, 70 18, 72 60, 74 3
T27: 1 7, 3 28, 5 21, 7 9, 9 20, 12 6, 13 4, 16 27, 17 12, 19 15, 21 1, 24 8, 25 8, 27 14, 29 4, 32 5, 34 42, 36 8, 38 7, 40 99, 42 4, 44 8, 46 1, 48 42, 50 40, 52 48, 54 6, 56 24, 58 9, 60 12, 62 8, 64 32, 66 8, 68 21, 70 8, 72 36, 74 1
T28: 1 70, 3 12, 5 9, 7 15, 9 14, 11 20, 13 8, 15 9, 17 30, 20 4, 21 2, 24 12, 25 7, 27 16, 29 40, 32 10, 34 24, 36 8, 38 10, 40 55, 42 7, 44 10, 47 9, 48 21, 50 50, 52 42, 54 6, 56 28, 58 3, 60 8, 62 6, 64 8, 66 28, 68 35, 70 8, 72 24, 74 2
T29: 1 49, 3 4, 5 12, 7 30, 9 10, 11 30, 13 9, 15 3, 17 30, 19 18, 21 1, 24 14, 25 2, 27 8, 29 40, 32 50, 34 18, 36 8, 38 9, 40 66, 42 9, 44 3, 46 3, 48 35, 51 8, 52 24, 54 4, 56 16, 58 6, 60 4, 62 1, 64 32, 66 36, 68 42, 70 18, 72 24, 74 3
T30: 1 14, 3 32, 5 24, 7 12, 9 2, 11 45, 13 6, 15 21, 17 27, 19 27, 21 4, 24 10, 25 7, 27 16, 29 32, 32 10, 34 36, 36 10, 38 5, 40 11, 42 8, 44 1, 46 9, 48 70, 51 18, 52 42, 54 6, 56 36, 58 3, 60 20, 62 6, 65 12, 66 8, 68 63, 70 20, 72 30, 74 10
T31: 1 28, 3 4, 5 6, 7 3, 9 4, 11 15, 13 3, 15 21, 17 24, 19 30, 21 7, 24 12, 25 7, 27 12, 29 4, 32 30, 34 18, 36 7, 38 4, 40 11, 43 45, 44 4, 46 2, 48 21, 51 20, 52 12, 54 1, 56 12, 58 6, 60 12, 62 2, 65 6, 66 40, 68 70, 70 10, 72 54, 74 4
T32: 1 63, 3 28, 5 15, 7 9, 9 4, 11 35, 13 5, 15 6, 17 9, 20 5, 21 10, 24 10, 25 1, 27 16, 29 24, 32 15, 34 48, 36 7, 38 1, 40 33, 42 7, 44 4, 47 18, 48 21, 51 4, 52 48, 54 4, 56 20, 58 5, 60 36, 62 9, 64 20, 66 20, 68 70, 70 2, 72 48, 74 5
T33: 1 70, 3 24, 5 15, 7 9, 9 18, 11 10, 13 10, 15 3, 17 21, 19 3, 21 9, 24 8, 25 3, 27 16, 29 16, 32 45, 34 54, 36 2, 38 3, 40 55, 42 4, 44 3, 46 10, 48 21, 50 20, 52 42, 54 8, 56 16, 58 6, 60 36, 62 4, 64 36, 66 40, 68 63, 70 4, 73 16, 74 2
T34: 1 21, 3 32, 5 3, 7 9, 9 8, 11 20, 13 9, 15 3, 17 9, 19 3, 21 6, 24 6, 25 8, 27 18, 29 16, 32 5, 34 54, 36 5, 38 6, 40 66, 42 7, 44 10, 46 8, 48 56, 50 30, 52 54, 54 1, 56 16, 58 8, 60 20, 62 5, 65 30, 66 12, 68 21, 70 2, 73 4, 74 4
T35: 1 63, 3 40, 5 21, 7 24, 9 6, 11 15, 13 2, 16 9, 17 30, 19 24, 21 8, 24 10, 25 4, 27 8, 29 8, 32 30, 34 18, 36 2, 38 8, 40 22, 42 3, 44 3, 46 7, 48 70, 50 20, 52 18, 54 6, 56 40, 58 2, 60 4, 62 7, 64 8, 66 28, 68 42, 70 6, 73 4, 74 3
T36: 1 70, 3 20, 5 21, 7 6, 9 8, 12 20, 13 1, 16 21, 17 24, 19 12, 21 10, 24 4, 25 7, 27 10, 29 28, 32 10, 34 30, 36 3, 38 10, 40 88, 42 4, 44 7, 46 2, 48 21, 50 30, 52 48, 54 6, 56 8, 58 9, 60 16, 62 9, 64 4, 66 28, 68 28, 70 6, 73 2, 74 1
T37: 1 21, 3 32, 5 27, 7 18, 9 14, 12 4, 13 1, 16 6, 17 30, 19 9, 21 1, 24 18, 25 7, 27 20, 29 16, 32 45, 34 60, 36 5, 38 10, 40 88, 43 10, 44 5, 46 2, 48 28, 50 30, 52 30, 54 9, 56 36, 58 9, 60 24, 62 10, 64 8, 66 24, 68 28, 70 6, 73 12, 74 5
T38: 1 63, 3 40, 5 18, 7 12, 9 4, 11 5, 13 9, 15 24, 17 9, 20 3, 21 5, 24 12, 25 2, 27 20, 29 36, 32 35, 34 6, 36 8, 38 8, 40 55, 42 8, 44 8, 47 6, 48 70, 50 15, 52 18, 54 7, 56 4, 58 8, 60 36, 62 9, 64 28, 66 32, 68 56, 70 18, 73 20, 74 4
T39: 1 28, 3 8, 5 6, 7 6, 9 10, 11 35, 13 4, 15 9, 17 21, 19 12, 21 2, 24 20, 25 1, 27 2, 29 20, 32 20, 34 12, 36 4, 38 4, 40 55, 42 5, 44 9, 46 5, 48 28, 51 12, 52 6, 54 3, 56 28, 58 8, 60 4, 62 5, 65 21, 66 40, 68 21, 70 8, 73 8, 74 2
T40: 1 7, 3 36, 5 9, 7 18, 9 6, 11 15, 13 9, 15 15, 17 12, 20 3, 21 10, 24 12, 25 1, 27 10, 29 16, 32 5, 34 54, 36 8, 38 9, 40 44, 42 4, 44 1, 47 3, 48 49, 51 2, 52 12, 54 6, 56 40, 58 8, 60 16, 62 8, 64 32, 66 28, 68 56, 70 14, 73 8, 74 2
T41: 1 70, 4 25, 5 12, 7 6, 9 2, 11 50, 13 10, 15 24, 17 12, 19 21, 21 5, 24 6, 25 3, 27 20, 29 20, 31 21, 34 6, 36 3, 38 9, 40 44, 42 1, 44 9, 46 1, 48 42, 50 20, 52 30, 54 8, 56 16, 58 6, 60 24, 62 2, 65 12, 66 28, 68 28, 70 12, 72 24, 74 5
T42: 1 28, 4 40, 5 15, 7 24, 9 14, 11 20, 13 3, 15 3, 17 6, 19 24, 21 6, 24 18, 25 6, 27 20, 29 36, 31 30, 34 36, 36 1, 38 8, 40 77, 42 9, 44 5, 46 4, 48 21, 51 18, 52 6, 54 3, 56 32, 58 2, 60 36, 62 6, 64 8, 66 20, 68 21, 70 12, 72 18, 74 7
T43: 1 14, 4 20, 5 3, 7 9, 9 12, 11 35, 13 1, 15 27, 17 30, 19 27, 21 10, 24 12, 25 2, 27 18, 29 4, 31 9, 34 36, 36 5, 38 4, 40 88, 42 10, 44 9, 46 9, 48 63, 51 18, 52 12, 54 9, 56 24, 58 4, 60 8, 62 3, 65 30, 66 8, 68 70, 70 8, 72 12, 74 5
T44: 1 56, 4 25, 5 15, 7 9, 9 12, 11 5, 13 10, 15 30, 17 21, 19 27, 21 1, 24 16, 25 9, 27 2, 29 32, 31 27, 34 42, 36 10, 38 8, 40 33, 42 2, 44 5, 46 9, 48 49, 51 10, 52 48, 54 2, 56 24, 58 7, 60 36, 63 14, 64 28, 66 24, 68 7, 70 18, 72 6, 74 3
T45: 1 49, 4 20, 5 12, 7 18, 9 2, 12 14, 13 9, 16 27, 17 27, 19 3, 21 4, 24 6, 25 3, 27 12, 29 16, 31 27, 34 18, 36 1, 38 6, 40 55, 43 50, 44 8, 46 3, 48 35, 51 6, 52 12, 54 5, 56 24, 58 9, 60 4, 62 1, 64 4, 66 4, 68 63, 70 14, 72 36, 74 1
T46: 1 63, 4 35, 5 30, 7 24, 9 6, 11 50, 13 3, 15 6, 17 27, 19 27, 21 1, 24 12, 25 6, 27 16, 29 8, 31 27, 34 6, 36 10, 38 2, 40 55, 42 3, 44 5, 46 5, 48 14, 50 30, 52 54, 54 6, 56 4, 58 3, 60 12, 62 10, 65 27, 66 12, 68 56, 70 18, 73 6, 74 9
T47: 1 63, 4 40, 5 18, 7 3, 9 12, 11 20, 13 5, 15 12, 17 21, 19 15, 21 1, 24 12, 25 7, 27 20, 29 16, 31 27, 34 54, 36 7, 38 1, 40 33, 42 10, 44 9, 46 4, 48 14, 51 12, 52 24, 54 3, 56 36, 58 9, 60 8, 62 2, 64 32, 66 4, 68 56, 70 4, 73 8, 74 9
T48: 1 49, 4 35, 5 15, 7 30, 9 14, 11 20, 13 4, 15 3, 17 9, 19 3, 21 2, 24 8, 25 7, 27 16, 29 24, 31 3, 34 6, 36 1, 38 9, 40 33, 43 20, 44 7, 46 10, 48 35, 51 8, 52 18, 54 10, 56 40, 58 5, 60 40, 62 5, 64 8, 66 28, 68 49, 70 16, 73 14, 74 6
T49: 1 14, 4 15, 5 12, 7 27, 9 10, 11 45, 13 5, 15 30, 17 24, 19 12, 21 2, 24 8, 25 7, 27 8, 29 28, 31 27, 34 36, 36 3, 38 9, 40 44, 42 7, 44 4, 46 4, 48 70, 51 6, 52 42, 54 8, 56 12, 58 5, 60 28, 62 4, 65 30, 66 28, 68 14, 70 4, 73 12, 74 9
T50: 1 35, 4 10, 5 30, 7 9, 9 18, 11 5, 13 7, 15 15, 17 24, 19 21, 21 1, 24 4, 25 4, 27 14, 29 20, 33 36, 34 60, 36 9, 38 7, 40 33, 42 10, 44 4, 46 9, 48 35, 50 50, 52 48, 54 5, 56 12, 58 5, 60 8, 62 2, 64 16, 66 12, 68 7, 70 14, 72 12, 74 5
T51: 1 35, 4 15, 5 30, 7 12, 9 16, 11 50, 13 8, 15 15, 17 21, 19 15, 21 10, 24 10, 25 4, 27 4, 29 16, 32 30, 34 54, 36 4, 38 2, 40 99, 42 5, 44 9, 46 3, 48 14, 50 5, 52 18, 54 2, 56 8, 58 4, 60 12, 62 3, 65 30, 66 28, 68 14, 70 10, 72 6, 74 9
T52: 1 21, 4 40, 5 3, 7 15, 9 20, 11 30, 13 7, 16 3, 17 3, 19 27, 21 10, 24 18, 25 9, 27 4, 29 32, 33 54, 34 6, 36 3, 38 9, 40 22, 42 5, 44 8, 46 6, 48 42, 50 30, 52 30, 54 2, 56 24, 58 7, 60 4, 62 6, 64 16, 66 16, 68 14, 70 16, 72 6, 74 8
T53: 1 7, 4 35, 5 30, 7 3, 9 12, 11 10, 13 8, 15 18, 17 24, 19 18, 21 2, 24 2, 25 6, 27 8, 29 4, 32 35, 34 54, 36 4, 38 8, 40 33, 42 2, 44 10, 46 6, 48 35, 51 14, 52 42, 54 4, 56 12, 58 7, 60 36, 62 3, 64 20, 66 16, 68 28, 70 6, 72 60, 74 10
T54: 1 49, 4 50, 5 18, 7 15, 9 18, 11 15, 13 5, 15 24, 17 6, 19 24, 21 6, 24 16, 25 10, 27 8, 29 28, 32 50, 34 48, 36 5, 38 6, 40 22, 42 7, 44 5, 46 5, 48 21, 51 6, 52 36, 54 10, 56 40, 58 8, 60 12, 62 4, 65 27, 66 40, 68 35, 70 8, 72 54, 74 8
T55: 1 21, 4 40, 5 18, 7 27, 9 6, 11 40, 13 3, 16 6, 17 12, 19 6, 21 3, 24 18, 25 6, 27 14, 29 36, 32 10, 34 18, 36 4, 38 9, 40 44, 42 2, 44 2, 46 1, 48 7, 51 2, 52 24, 54 3, 56 12, 58 7, 60 12, 62 7, 64 16, 66 32, 68 14, 70 20, 72 24, 74 10
T56: 1 14, 4 5, 5 6, 7 27, 9 2, 11 45, 13 4, 15 30, 17 9, 19 15, 21 4, 24 16, 25 8, 27 16, 29 20, 33 36, 34 30, 36 10, 38 2, 40 77, 42 8, 44 2, 46 5, 48 21, 50 25, 52 18, 54 10, 56 20, 58 7, 60 16, 62 10, 64 12, 66 40, 68 70, 70 2, 73 8, 74 9
T57: 1 42, 4 40, 5 21, 7 6, 9 2, 11 35, 13 7, 15 6, 17 30, 19 24, 21 9, 24 8, 25 1, 27 6, 29 40, 32 10, 34 12, 36 5, 38 9, 40 110, 42 6, 44 5, 46 5, 48 42, 51 12, 52 18, 54 9, 56 20, 58 5, 60 12, 62 3, 64 12, 66 16, 68 56, 70 6, 73 14, 74 5
T58: 1 28, 4 35, 5 30, 7 27, 9 2, 11 45, 13 7, 15 9, 17 18, 19 18, 21 7, 24 10, 25 6, 27 12, 29 12, 33 45, 34 6, 36 4, 38 5, 40 88, 42 4, 44 8, 46 6, 48 49, 51 4, 52 24, 54 7, 56 36, 58 2, 60 24, 62 7, 64 16, 66 36, 68 56, 70 4, 73 2, 74 9
T59: 1 7, 3 12, 5 6, 7 21, 9 2, 11 5, 13 9, 15 3, 17 15, 19 18, 21 7, 23 5, 25 10, 27 8, 29 32, 31 3, 34 42, 36 10, 39 14, 40 88, 42 9, 44 7, 46 7, 48 49, 50 10, 52 36, 54 8, 56 40, 58 8, 60 32, 62 2, 64 20, 66 28, 68 35, 70 6, 72 48, 74 2
T60: 1 70, 3 28, 5 21, 7 12, 9 10, 11 45, 13 7, 15 9, 17 18, 19 6, 21 6, 23 25, 25 3, 27 4, 29 28, 31 27, 34 30, 36 4, 39 12, 40 11, 42 7, 44 6, 46 5, 48 42, 50 40, 52 36, 54 1, 56 36, 58 10, 60 16, 62 9, 64 12, 66 28, 68 7, 71 12, 72 12, 74 4
T61: 1 70, 3 28, 5 12, 7 15, 9 16, 12 8, 13 4, 15 18, 17 15, 19 30, 21 7, 23 30, 25 6, 27 8, 29 32, 31 3, 34 48, 36 10, 39 14, 40 110, 42 7, 44 6, 46 9, 48 35, 50 30, 52 36, 54 3, 56 40, 58 10, 60 20, 62 9, 64 32, 66 12, 68 42, 70 4, 72 6, 74 10
T62: 1 28, 3 32, 5 6, 7 27, 9 12, 12 2, 13 10, 16 18, 17 24, 19 18, 21 5, 23 25, 25 6, 27 14, 29 40, 31 9, 34 54, 36 9, 39 8, 40 11, 42 2, 44 7, 46 1, 48 14, 50 20, 52 6, 54 8, 56 24, 58 1, 60 36, 62 10, 64 16, 66 40, 68 56, 70 6, 72 36, 74 5
T63: 1 35, 3 28, 5 30, 7 30, 9 14, 12 8, 13 8, 16 18, 17 18, 19 3, 21 4, 23 25, 25 7, 27 14, 29 8, 31 9, 34 18, 36 7, 39 2, 40 33, 42 10, 44 1, 46 6, 48 42, 50 15, 52 6, 54 10, 56 4, 58 3, 60 24, 62 9, 64 40, 66 16, 68 14, 71 28, 72 42, 74 9
T64: 1 56, 3 8, 5 30, 7 9, 9 4, 11 5, 13 7, 15 6, 17 27, 19 30, 21 3, 23 5, 25 6, 27 8, 29 40, 31 6, 34 6, 36 5, 39 16, 40 11, 42 7, 44 8, 46 8, 48 63, 51 20, 52 36, 54 4, 56 4, 58 9, 60 8, 62 5, 64 24, 66 36, 68 56, 70 10, 72 12, 74 8
T65: 1 35, 3 40, 5 3, 7 27, 9 4, 11 30, 13 9, 15 18, 17 21, 19 6, 21 3, 23 45, 25 2, 27 18, 29 16, 31 27, 34 12, 36 4, 39 6, 40 66, 42 6, 44 1, 46 8, 48 14, 51 14, 52 12, 54 4, 56 16, 58 7, 60 40, 62 5, 64 16, 66 16, 68 56, 71 4, 72 60, 74 9
T66: 1 14, 3 16, 5 18, 7 9, 9 18, 12 18, 13 6, 15 21, 17 6, 19 24, 21 9, 23 15, 25 8, 27 20, 29 32, 31 21, 34 24, 36 9, 39 8, 40 33, 42 6, 44 1, 46 2, 48 42, 51 18, 52 6, 54 7, 56 4, 58 6, 60 24, 62 5, 64 24, 66 40, 68 14, 70 4, 72 42, 74 5
T67: 1 28, 3 24, 5 15, 7 27, 9 14, 11 40, 13 5, 15 21, 17 18, 19 18, 21 4, 23 10, 25 4, 27 10, 29 12, 31 27, 34 48, 36 10, 39 16, 40 55, 42 1, 44 4, 46 4, 48 21, 51 16, 52 60, 54 6, 56 40, 58 7, 60 16, 63 10, 64 12, 66 40, 68 14, 71 24, 72 18, 74 1
T68: 1 21, 3 4, 5 27, 7 30, 9 10, 12 6, 13 1, 16 24, 17 27, 19 3, 21 10, 23 15, 25 7, 27 16, 29 4, 31 27, 34 24, 36 2, 39 8, 40 88, 42 8, 44 8, 46 6, 48 63, 51 8, 52 54, 54 6, 56 8, 58 7, 60 28, 62 3, 64 28, 66 32, 68 70, 70 14, 72 36, 74 8
T69: 1 49, 3 36, 5 30, 7 27, 9 10, 12 2, 13 7, 16 27, 17 27, 19 21, 21 3, 23 20, 25 5, 27 4, 29 24, 31 24, 34 18, 36 2, 39 8, 40 44, 42 3, 44 2, 46 2, 48 42, 51 12, 52 18, 54 10, 56 12, 58 10, 60 24, 62 2, 64 32, 66 16, 68 42, 71 16, 72 6, 74 1
T70: 1 63, 3 4, 5 12, 7 30, 9 2, 11 30, 13 2, 15 30, 17 27, 19 27, 21 4, 23 45, 25 9, 27 16, 29 36, 31 3, 34 30, 36 3, 39 2, 40 66, 42 1, 44 2, 46 9, 48 28, 51 6, 52 48, 54 8, 56 20, 58 4, 60 40, 62 5, 64 4, 66 4, 69 40, 71 20, 72 48, 74 9
T71: 1 56, 3 40, 5 27, 7 12, 9 4, 11 10, 13 4, 15 3, 17 24, 19 24, 21 3, 24 2, 25 2, 27 20, 29 24, 31 12, 34 42, 36 4, 39 10, 40 77, 42 2, 44 10, 46 5, 48 14, 50 40, 52 30, 54 5, 56 20, 58 6, 60 40, 62 4, 64 28, 66 8, 68 63, 71 8, 72 24, 74 9
T72: 1 49, 3 4, 5 27, 7 30, 9 2, 11 35, 13 3, 15 3, 17 27, 19 15, 21 9, 24 8, 25 4, 27 6, 29 16, 31 24, 34 54, 36 5, 39 16, 40 55, 42 8, 44 9, 46 2, 48 35, 50 5, 52 48, 54 6, 56 24, 58 9, 60 4, 62 8, 65 9, 66 4, 68 28, 71 40, 72 60, 74 6
T73: 1 21, 3 8, 5 12, 7 24, 9 8, 12 12, 13 4, 15 3, 17 24, 19 15, 21 3, 24 8, 25 4, 27 4, 29 32, 31 21, 34 54, 36 1, 39 8, 40 88, 42 3, 44 2, 46 10, 48 63, 50 20, 52 6, 54 4, 56 8, 58 4, 60 36, 62 7, 65 27, 66 20, 68 42, 71 32, 72 24, 74 2
